rank,account_name,fit,urgency,total,fit_reason,urgency_reason,urgency_source,trigger_summary,best_fit_trial_title,best_fit_trial_status,best_fit_trial_phase,best_fit_trial_url,best_urgency_trial_title,best_urgency_trial_status,best_urgency_trial_phase,best_urgency_trial_url,sec_matched_total,patent_matched_total,target_roles
1,AstraZeneca,5.0,3.0,22.1,CAR-T trial,RECRUITING in high urgency phase (PHASE1),clinicaltrials,"trial_candidate: A Study of AZD0120 in Autoimmune Diseases | trial_candidate: A Study to Evaluate Safety, PK, PD and Efficacy of AZD5492, a T Cell-engaging Antibody Targeting CD20 in Subje | sec_filing: 6-K filed 2026-02-10 – FINAL RESULTS",Acalabrutinib and Anti-CD19 CAR T-cell Therapy for the Treatment of B-cell Lymphoma,ACTIVE_NOT_RECRUITING,"PHASE1,PHASE2",https://clinicaltrials.gov/study/NCT04257578,A Study of AZD0120 in Autoimmune Diseases,RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT07295847,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
2,Pfizer,4.0,3.0,20.1,molecule match: elranatamab,RECRUITING in high urgency phase (PHASE1),clinicaltrials,"trial_candidate: A Study to Learn About the Effects of the Combination of Elranatamab (PF-06863135) and Iberdomide in Patients  | trial_candidate: A Study to Learn More About the Study Medicine Called Inotuzumab Ozogamicin (InO) in Children (1 to <18 Years) | trial_candidate: A Study to Learn About Effects of the Combination of Elranatamab, Daratumumab and Lenalidomide Compared With D",A Study to Learn About the Effects of the Combination of Elranatamab (PF-06863135) and Iberdomide in Patients With Relapsed or Refractory Multiple Myeloma (MagnetisMM-30),RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT06215118,A Study to Learn About the Effects of the Combination of Elranatamab (PF-06863135) and Iberdomide in Patients With Relapsed or Refractory Multiple Myeloma (MagnetisMM-30),RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT06215118,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
3,Allogene Therapeutics,5.0,3.0,20.1,CAR-T trial,RECRUITING in high urgency phase (PHASE1),clinicaltrials,"trial_candidate: A Study to Investigate the Safety and Preliminary Efficacy of ALLO-329, an Allogeneic CAR T-cell Therapy, in A | trial_candidate: Consolidation of First-Line MRD+ Remission With Cema-cel in Patients With LBCL | trial_candidate: Safety and Efficacy of ALLO-316 in Subjects With Advanced or Metastatic Clear Cell Renal Cell Carcinoma","A Study to Investigate the Safety and Preliminary Efficacy of ALLO-329, an Allogeneic CAR T-cell Therapy, in Adults With Autoimmune Disease",RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT07085104,"A Study to Investigate the Safety and Preliminary Efficacy of ALLO-329, an Allogeneic CAR T-cell Therapy, in Adults With Autoimmune Disease",RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT07085104,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
4,"Kite, A Gilead Company",5.0,3.0,20.1,CAR-T trial,ACTIVE_NOT_RECRUITING in high urgency phase (PHASE2),clinicaltrials,trial_candidate: Study of Anitocabtagene-autoleucel in Relapsed or Refractory Multiple Myeloma (iMMagine-1) | trial_candidate: Study of Anitocabtagene-autoleucel in Participants With Relapsed Refractory Multiple Myeloma | trial_collaborator: Study of KTE-X19 in Minimal Residual Disease (MRD) Positive B-Cell Acute Lymphoblastic Leukemia (B-ALL),Neurological and Cognitive Dysfunction Following CAR-T Treatment. ICANS and Beyond,NOT_YET_RECRUITING,,https://clinicaltrials.gov/study/NCT07375628,Study of Anitocabtagene-autoleucel in Relapsed or Refractory Multiple Myeloma (iMMagine-1),ACTIVE_NOT_RECRUITING,PHASE2,https://clinicaltrials.gov/study/NCT05396885,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
5,"Juno Therapeutics, Inc., a Bristol-Myers Squibb Company",5.0,3.0,20.1,CAR-T trial,RECRUITING in high urgency phase (PHASE1),clinicaltrials,"trial_candidate: A Study to Evaluate the Safety, Tolerability, Efficacy, and Drug Levels of CC-97540 in Participants With Relap | trial_candidate: A Study to Compare the Efficacy and Safety of BMS-986393 Versus Standard Regimens in Adult Participants With R | trial_candidate: Study of Arlocabtagene Autoleucel (BMS-986393) a GPRC5D-directed CAR T Cell Therapy in Adult Participants With",Study of Arlocabtagene Autoleucel (BMS-986393) a GPRC5D-directed CAR T Cell Therapy in Adult Participants With Relapsed or Refractory Multiple Myeloma,RECRUITING,PHASE2,https://clinicaltrials.gov/study/NCT06297226,"A Study to Evaluate the Safety, Tolerability, Efficacy, and Drug Levels of CC-97540 in Participants With Relapsing Forms of Multiple Sclerosis, Progressive Forms of Multiple Sclerosis or Refractory Myasthenia Gravis (MG) (Breakfree-2)",RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT06220201,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
6,"Chongqing Precision Biotech Co., Ltd",5.0,3.0,20.1,CAR-T trial,RECRUITING in high urgency phase (PHASE1),clinicaltrials,trial_candidate: Study of CD19 CAR-T Therapy for Refractory SLE | trial_collaborator: Study of Therapeutic Efficacy of Anti-CD19 CAR-T Cells in Refractory Systemic Lupus Erythematosus | trial_candidate: Study of Ultra-Fast BCMA/CD70 CAR-T Therapy for Refractory SLE,Study of CD19 CAR-T Therapy for Refractory SLE,RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT07403097,Study of CD19 CAR-T Therapy for Refractory SLE,RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT07403097,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
7,Nanjing Legend Biotech Co.,5.0,3.0,20.1,CAR-T trial,RECRUITING in high urgency phase (PHASE1),clinicaltrials,trial_candidate: A Study of LUCAR-G79D in Subjects With Relapsed/Refractory Systemic Lupus Erythematosus (r/r SLE) and Idiopath | trial_candidate: A Study of LUCAR-DKS1 in Subjects With Relapsed/Refractory Autoimmune Diseases | trial_candidate: A Study of LUCAR-G79 in Subjects With Relapsed/Refractory Autoimmune Diseases,A Study of LCAR-AIO CAR-T Cells for Treating Relapsed/Refractory Neurological Autoimmune Diseases,RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT06869278,A Study of LUCAR-G79D in Subjects With Relapsed/Refractory Systemic Lupus Erythematosus (r/r SLE) and Idiopathic Inflammatory Myopathies (r/r IIM),RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT07331272,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
8,"Hebei Senlang Biotechnology Inc., Ltd.",5.0,3.0,20.1,CAR-T trial,NOT_YET_RECRUITING in high urgency phase (PHASE2),clinicaltrials,trial_collaborator: SL4903 CAR-T Therapy for Relapsed/Refractory Multiple Myeloma | trial_candidate: Phase II Trial of S101 Autologous Anti-CD7 CAR-T Cells in Patients With R/R T-LBL/ALL. | trial_candidate: Assessment of Senl_B19 CAR-T Cells in Relapsed/Refractory CD19+ B-ALL,SL4903 CAR-T Therapy for Relapsed/Refractory Multiple Myeloma,NOT_YET_RECRUITING,EARLY_PHASE1,https://clinicaltrials.gov/study/NCT07234721,Phase II Trial of S101 Autologous Anti-CD7 CAR-T Cells in Patients With R/R T-LBL/ALL.,NOT_YET_RECRUITING,PHASE2,https://clinicaltrials.gov/study/NCT07244380,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
9,Miltenyi Biomedicine GmbH,5.0,3.0,20.1,CAR-T trial,RECRUITING in high urgency phase (PHASE1),clinicaltrials,trial_collaborator: CD19 Chimeric Antigen Receptor (CAR) T Cells in Adults With Relapsed/Refractory CD19 Positive Acute Lymphoblas | trial_candidate: DALY II Japan/MB-CART2019.1 for DLBCL | trial_candidate: Efficacy and Safety of MB-CART2019.1 vs. SoC in Lymphoma Patients,CD19 Chimeric Antigen Receptor (CAR) T Cells in Adults With Relapsed/Refractory CD19 Positive Acute Lymphoblastic Leukemia,RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT07361029,CD19 Chimeric Antigen Receptor (CAR) T Cells in Adults With Relapsed/Refractory CD19 Positive Acute Lymphoblastic Leukemia,RECRUITING,PHASE1,https://clinicaltrials.gov/study/NCT07361029,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
10,"PersonGen BioTherapeutics (Suzhou) Co., Ltd.",5.0,3.0,20.1,CAR-T trial,RECRUITING in high urgency phase (PHASE2),clinicaltrials,trial_candidate: Clinical Study of UTAA07 Injection in the Treatment of Hematologic and Lymphatic Systemic Malignancies | trial_candidate: Clinical Study of LV009 Injection for the Treatment of Relapsed/Refractory CD19-Positive Hematologic and Lymph | trial_candidate: PA3-17 Injection in Adult Patients With CD7-positive Relapsed/Refractory T-lymphoblastic Leukemia/Lymphoma,Clinical Study of CD7 CAR-T Cells for Relapsed/refractory Autoimmune Diseases,NOT_YET_RECRUITING,NA,https://clinicaltrials.gov/study/NCT06871644,PA3-17 Injection in Adult Patients With CD7-positive Relapsed/Refractory T-lymphoblastic Leukemia/Lymphoma,RECRUITING,PHASE2,https://clinicaltrials.gov/study/NCT07188610,0,0,"[""Clinical Scientist / Early Clinical Development Lead (Phase 1)"", ""Director/VP, Translational Medicine (Oncology/Immunology)"", ""Head/Director, Clinical Biomarkers / Translational Biomarkers"", ""Head/Director, Immune Monitoring / Flow Cytometry / Cytometry Core"", ""Director, Bioassay / Potency / Analytical Development""]"
